freqmid,freqw,MAE,RMSE,freqhi_actual,freqlo_actual,freqmid_actual,freqw_actual,fsv,nsv,r2
22.973967099940698,8914.437768152315,,,,,,,,,
22.973967099940698,10240.0,,,,,,,,,
22.973967099940698,11762.671155169646,,,,,,,,,
22.973967099940698,13511.761006314442,,,,,,,,,
22.973967099940698,15520.937641066492,,,,,,,,,
22.973967099940698,17828.87553630463,,,,,,,,,
22.973967099940698,20480.0,,,,,,,,,
26.390158215457884,20.0,,,,,,,,,
26.390158215457884,22.973967099940698,,,,,,,,,
26.390158215457884,26.390158215457884,,,,,,,,,
26.390158215457884,30.314331330207963,,,,,,,,,
26.390158215457884,34.822022531844965,2.0748111763883634,2.8546778546065625,43.06640625,21.533203125,32.2998046875,21.533203125,0.8126002290950745,3547.0,0.7541253210260181
26.390158215457884,40.0,2.0748111763883634,2.8546778546065625,43.06640625,21.533203125,32.2998046875,21.533203125,0.8126002290950745,3547.0,0.7541253210260181
26.390158215457884,45.9479341998814,2.0748111763883634,2.8546778546065625,43.06640625,21.533203125,32.2998046875,21.533203125,0.8126002290950745,3547.0,0.7541253210260181
26.390158215457884,52.78031643091579,,,,,,,,,
26.390158215457884,60.62866266041593,,,,,,,,,
26.390158215457884,69.64404506368992,,,,,,,,,
26.390158215457884,80.0,,,,,,,,,
26.390158215457884,91.8958683997628,,,,,,,,,
26.390158215457884,105.56063286183158,,,,,,,,,
26.390158215457884,121.25732532083185,,,,,,,,,
26.390158215457884,139.2880901273799,,,,,,,,,
26.390158215457884,160.0,,,,,,,,,
26.390158215457884,183.7917367995256,,,,,,,,,
26.390158215457884,211.12126572366316,,,,,,,,,
26.390158215457884,242.51465064166365,,,,,,,,,
26.390158215457884,278.57618025475983,,,,,,,,,
26.390158215457884,320.0,,,,,,,,,
26.390158215457884,367.5834735990512,,,,,,,,,
26.390158215457884,422.2425314473263,,,,,,,,,
26.390158215457884,485.0293012833276,,,,,,,,,
26.390158215457884,557.1523605095197,,,,,,,,,
26.390158215457884,640.0,,,,,,,,,
26.390158215457884,735.1669471981024,,,,,,,,,
26.390158215457884,844.4850628946526,,,,,,,,,
26.390158215457884,970.0586025666552,,,,,,,,,
26.390158215457884,1114.3047210190393,,,,,,,,,
26.390158215457884,1280.0,,,,,,,,,
26.390158215457884,1470.3338943962049,,,,,,,,,
26.390158215457884,1688.9701257893053,,,,,,,,,
26.390158215457884,1940.1172051333103,,,,,,,,,
26.390158215457884,2228.6094420380787,,,,,,,,,
26.390158215457884,2560.0,,,,,,,,,
26.390158215457884,2940.667788792408,,,,,,,,,
26.390158215457884,3377.9402515786105,,,,,,,,,
26.390158215457884,3880.234410266623,,,,,,,,,
26.390158215457884,4457.218884076157,,,,,,,,,
26.390158215457884,5120.0,,,,,,,,,
26.390158215457884,5881.335577584823,,,,,,,,,
26.390158215457884,6755.880503157221,,,,,,,,,
26.390158215457884,7760.468820533237,,,,,,,,,
26.390158215457884,8914.437768152315,,,,,,,,,
26.390158215457884,10240.0,,,,,,,,,
26.390158215457884,11762.671155169646,,,,,,,,,
26.390158215457884,13511.761006314442,,,,,,,,,
26.390158215457884,15520.937641066492,,,,,,,,,
26.390158215457884,17828.87553630463,,,,,,,,,
26.390158215457884,20480.0,,,,,,,,,
30.314331330207963,20.0,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
